写真区分,工種,種別,細別,写真タイトル
施工状況写真,ひびわれ補修工,ひびわれ充填工,A1橋台,完了
施工状況写真,ひびわれ補修工,A1橋台ひびわれ注入工完成,A1橋台,完了
施工状況写真,完成,ひびわれ注入工,A1橋台,完了
施工状況写真,伸縮継手工,,,既設コンクリート撤去状況
施工状況写真,伸縮継手工,,,既設コンクリート撤去完了
施工状況写真,伸縮継手工,,,伸縮装置設置状況
施工状況写真,伸縮継手工,,,伸縮装置設置設置完了
施工状況写真,伸縮継手工,,,超速硬コンクリート打設状況
施工状況写真,伸縮継手工,,,打設完了
施工状況写真,伸縮継手工,,,プライマー塗布
施工状況写真,伸縮継手工,,,シール材攪拌状況
施工状況写真,伸縮継手工,,,シール処理
施工状況写真,橋面防水工,,,下地処理
施工状況写真,橋面防水工,,,接着剤塗布
施工状況写真,橋面防水工,,,取付状況
施工状況写真,排水工,,,排水管設置完了
施工状況写真,表面含浸工,,,撥水状況
施工状況写真,表面含浸工,,,シラン系含浸材塗布状況
施工状況写真,表面含浸工,,,シラン系含浸材塗布　2回目
施工状況写真,表面含浸工,,,シラン系含浸材塗布完了
施工状況写真,表面含浸工,シラン系含浸材,,完了
施工状況写真,表面含浸工,シラン系含浸材,,施工前
施工状況写真,着手前,シラン系含浸材,,施工前
施工状況写真,表面含浸工,,,下地処理
施工状況写真,表面含浸工,,,シラン系含浸材塗布　1回目
施工状況写真,舗装工,,,施工前
施工状況写真,舗装工,,,清掃状況
施工状況写真,舗装工,,,切削状況
施工状況写真,舗装工,,,切削材積込状況
施工状況写真,舗装工,,,はつり状況
出来形管理写真,舗装工,路面切削,打診,打診状況
施工状況写真,舗装工,,,舗装版撤去
施工状況写真,舗装工,,,舗装版積込
施工状況写真,舗装工,,,不陸整正敷均し状況
施工状況写真,舗装工,,,不陸整正転圧状況
施工状況写真,舗装工,,,不陸整正完了
施工状況写真,舗装工,,,アスファルト乳剤(PK-3)散布状況
施工状況写真,舗装工,,,表層1層目敷均し状況
施工状況写真,舗装工,,,表層1層目転圧状況
施工状況写真,舗装工,,,表層1層目完了
施工状況写真,舗装工,,,アスファルト乳剤(PK-4)散布状況
施工状況写真,舗装工,,,表層2層目敷均し状況
施工状況写真,舗装工,表層敷均し・転圧　2層目,,表層2層目転圧状況
施工状況写真,舗装工,,,レベリング敷均し状況
施工状況写真,舗装工,レベリング敷均し・転圧,,レベリング敷均し状況
施工状況写真,舗装工,,,レベリング完了
施工状況写真,舗装工,表層敷均し・転圧　1層目,,表層1層目敷均し状況
施工状況写真,舗装工,,,表層2層目転圧状況
施工状況写真,防護柵工,既設防護柵取替工,,設置状況
施工状況写真,防護柵工,,,設置完了
施工状況写真,防護柵工,設置完了,,設置完了
施工状況写真,防水工,,,コア削孔
施工状況写真,防水工,,,コア削孔完了
施工状況写真,防水工,,,清掃状況
施工状況写真,防水工,,,耐圧ホース挿入
施工状況写真,防水工,,,ジョリシール注入
施工状況写真,防水工,,,アンカー設置
施工状況写真,防水工,,,完了
施工状況写真,防水工,,,プライマー塗布
施工状況写真,防水工,,,プライマー塗布完了
施工状況写真,防水工,防水シート,,シート貼付
施工状況写真,防水工,防水シート,端部処理,端部処理
施工状況写真,防水工,防水シート,,L型止水テープ設置状況
施工状況写真,防水工,防水シート,導水管,導水管設置状況
施工状況写真,防水工,,,防水シート設置完了
安全管理写真,,,,工事看板設置
安全管理写真,,,,徐行看板
安全管理写真,,,,看板設置
安全管理写真,,,,安全掲示板設置
安全管理写真,,,,使用機械
安全管理写真,,,,現場事務所設置
安全管理写真,現場事務所,,,消火器設置
安全管理写真,現場事務所,,,緊急時連絡表及び施工体系図
安全管理写真,,,,資材倉庫設置
安全管理写真,,,,仮設トイレ設置
安全管理写真,,,,新規入場者教育
安全管理写真,,,,朝礼
安全管理写真,,,,月例安全安全訓練
使用材料写真,仮設工,,,1t土のう　空袋検収
使用材料写真,仮設工,,,数量確認
使用材料写真,ひびわれ補修工,ひびわれ注入工,,注入材
使用材料写真,ひびわれ補修工,ひびわれ注入工,,空缶検収
使用材料写真,表面含浸工,シラン系含浸材,,空缶検収
使用材料写真,断面修復工,,,空袋検収
使用材料写真,防水工,,,ジョリシール、主剤、硬化剤
使用材料写真,防水工,,,材料検収
使用材料写真,防水工,,,空袋検収
使用材料写真,防水工,,,空缶検収
使用材料写真,防護柵工,,,保管状況
使用材料写真,防護柵工,,,ガードパイプ1式
使用材料写真,防護柵工,,,ビームパイプ
使用材料写真,防護柵工,,,BPL支柱
使用材料写真,防護柵工,,,ベースプレート
使用材料写真,防護柵工,,,上段袖ビーム
使用材料写真,防護柵工,,,下段袖ビーム
使用材料写真,防護柵工,,,インナースリーブ
使用材料写真,防護柵工,,,ブラケット・ボルト
使用材料写真,伸縮継手工,,,差筋アンカー
使用材料写真,伸縮継手工,,,シール材・プライマー
使用材料写真,伸縮継手工,,,鉄筋　D13
使用材料写真,伸縮継手工,,,伸縮装置
使用材料写真,伸縮継手工,,,空缶検収
品質管理写真,ひびわれ補修工,ひびわれ充填工,A1橋台,Uカット寸法確認
品質管理写真,ひびわれ補修工,ひびわれ充填工,,ポリマーセメントモルタル攪拌
品質管理写真,ひびわれ補修工,ひびわれ注入工,,温湿度確認
品質管理写真,ひびわれ補修工,ひびわれ注入工,,注入材攪拌
品質管理写真,ひびわれ補修工,ひびわれ注入工,A1橋台,注入器具設置間隔
品質管理写真,表面含浸工,,,表面含水率
品質管理写真,表面含浸工,,,表面含浸材
使用材料写真,排水工,,,3日圧縮強度
品質管理写真,排水工,4週強度試験,,段階確認
品質管理写真,伸縮継手工,超速硬コンクリート,,スランプ試験
品質管理写真,伸縮継手工,超速硬コンクリート,,圧縮強度試験
品質管理写真,防水工,,,橋面水分量
品質管理写真,舗装工,,,外気温度測定
品質管理写真,排水工,,,到着温度
品質管理写真,舗装工,到着温度,,到着温度
品質管理写真,舗装工,,,初期転圧前温度
出来形管理写真,ひびわれ補修工,ひびわれ注入工,A1橋台,ひびわれ注入工　出来形測定
出来形管理写真,ひびわれ補修工,ひびわれ注入工,A1橋台,ひびわれ注入出来形
出来形管理写真,ひびわれ補修工,ひびわれ充填工,A1橋台,ひびわれ充填工出来形測定
出来形管理写真,舗装工,,,切削厚　基準高測定
出来形管理写真,舗装工,,,路面切削厚測定
出来形管理写真,舗装工,路面切削,,路面切削厚測定
出来形管理写真,舗装工,,,路面切削幅測定
出来形管理写真,舗装工,伸縮装置前後据付,,不陸整正出来形測定
出来形管理写真,舗装工,伸縮装置前後据付,,表層1層目出来形測定
出来形管理写真,舗装工,,,床板出来形測定
出来形管理写真,舗装工,,,表層1層目出来形測定
出来形管理写真,舗装工,,,表層2層目出来形測定
出来形管理写真,防護柵工,,,防護柵　延長
出来形管理写真,防護柵工,,,防護柵　設置高
出来形管理写真,伸縮継手工,,,裏こめ寸法確認
出来形管理写真,伸縮継手工,,,裏こめ寸法測定
出来形管理写真,伸縮継手工,,,配筋確認
出来形管理写真,伸縮継手工,,,伸縮装置　幅員測定
出来形管理写真,伸縮継手工,,,表面の凹凸
出来形管理写真,伸縮継手工,,,仕上げ高さ
出来形管理写真,防水工,防水シート,,耐圧ホース寸法測定
出来形管理写真,防水工,防水シート,,シート重ね幅測定
その他,段階確認,ひび割れ補修工　A2橋台,ひび割れ注入,ひび割れ注入　幅員
その他,段階確認,ひび割れ補修工　A2橋台,ひび割れ注入,ひび割れ注入　延長
その他,段階確認,ひび割れ補修工　A2橋台,ひび割れ充填,ひび割れ充填　幅員
その他,段階確認,ひび割れ補修工　A2橋台,ひび割れ充填,ひび割れ充填　延長
その他,段階確認,ひび割れ補修工　A2橋台,ひび割れ注入出来形,ひび割れ注入出来形
その他,段階確認,断面修復工　A2橋台,断面修復工はつり出来形,ひび割れ充填出来形
その他,段階確認,ひび割れ補修工　A2橋台,ひび割れ出来形　A2橋台,ひびわれ　出来形
その他,段階確認,ひび割れ補修工　A2橋台,シラン系含浸材,シラン系含浸材　撥水状況
その他,段階確認,ひび割れ補修工　上部工,ひび割れ注入,ひび割れ注入　幅員
その他,段階確認,ひび割れ補修工　上部工,ひび割れ注入,ひび割れ注入　延長
その他,段階確認,断面修復工　A2橋台,断面修復工,断面修復工　A2橋台
その他,段階確認,断面修復工　A2橋台,断面修復工,断面修復工　A2橋台　打診
その他,段階確認,断面修復工　A2橋台,断面修復工はつり出来形,断面修復工　はつり出来形
その他,段階確認,断面修復工　A2橋台,断面修復工はつり出来形,断面修復工　はつり打診
その他,段階確認,断面修復工　A2橋台,断面修復工出来形,断面修復工　出来形
その他,段階確認,舗装工,路面切削,路面切削　出来形
その他,段階確認,準備工,KBM.1設置,KBM.1設置
その他,段階確認,ひびわれ補修工　A1橋台,幅,ひびわれ注入前　幅
その他,段階確認,ひびわれ補修工　A1橋台,延長,ひびわれ注入前　延長
その他,段階確認,ひびわれ補修工　A1橋台,ひびわれ充填工,ひび割れ充填　幅
その他,段階確認,ひびわれ補修工　A1橋台,遊離石灰による,ひび割れ充填　遊離石灰による
その他,段階確認,ひびわれ充填工,延長,ひび割れ充填　延長
その他,段階確認,ひびわれ補修工　A1橋台,延長,ひび割れ充填　延長
その他,段階確認,ひびわれ補修工　A1橋台,ひびわれ注入出来形,ひびわれ注入出来形
その他,段階確認,ひびわれ補修工　A1橋台,ひびわれ注入出来形,ひびわれ注入　出来形
その他,段階確認,ひびわれ補修工　A1橋台,ひびわれ充填出来形,ひびわれ充填出来形
その他,段階確認,ひびわれ補修工　A1橋台,ひびわれ出来形　A1橋台,ひびわれ　出来形
その他,段階確認,ひびわれ補修工　A1橋台,シラン系含浸材,撥水状況
その他,段階確認,伸縮装置取替工,配筋確認,配筋確認
その他,ひびわれ補修工,,,調査
